店铺id,城市,类型,店名,点评,人均,口味,环境,服务
2808,南京,火锅,原塞赛汗塔拉涮羊肉(所街店),87,75,9.1,9,9.2
2809,南京,火锅,杨军老锅底(马台街店)分店,249,84,8.9,9.2,9.2
2810,南京,火锅,火旗门·老北京火锅,61,103,8.3,8.5,8.6
2811,南京,火锅,佰人王串串香火锅(淮海路店)分店,1600,67,8.7,8.3,8
2812,南京,火锅,豆捞坊(虹悦城店)分店,987,114,8.1,8.3,7.9
2813,南京,火锅,忆辣时光骨汤麻辣烫,27,15,8.2,8.2,7.9
2814,南京,火锅,漫花园重庆火锅·美蛙鱼头,108,90,7.2,7.7,7.4
2815,南京,小吃快餐,汉堡王(南京新一城店)分店,1152,35,8.5,8.7,8.4
2816,南京,小吃快餐,山之巅云南过桥米线,694,19,8.5,6.8,7.6
2818,南京,小吃快餐,东池便当(建宁路店),13,21,7.5,7.5,7.5
2819,南京,面包甜点,乌煎道黑龙茶分店,83,13,9,9,9.1
2820,南京,面包甜点,Mustache皇茶(总店)分店,274,17,8.2,8.6,8.6
2821,南京,面包甜点,猫山王榴莲甜品MusangKing(猫叔...分店,2033,32,8.9,8.9,8.8
2822,南京,面包甜点,泸溪河桃酥(福园街店),50,21,8.1,7.9,7.7
2823,南京,面包甜点,希望先生 Mr.Wish,48,26,8.9,8.9,8.8
2824,南京,面包甜点,厝内小眷村(缤润汇店),16,12,7.7,7.8,7.6
2825,南京,面包甜点,DQ(商厦店)分店,403,31,8.3,8.2,8.1
2826,南京,面包甜点,元祖食品(小卫街店)分店,95,185,7.8,8.1,7.7
2827,南京,面包甜点,悸动烧仙草(罗汉巷店),32,13,8,7.9,7.7
2828,南京,其他,江宁宴(新亭路店),185,72,8.9,9,8.9
2829,南京,其他,阿胜海鲜大酒楼,189,129,8,7.7,7.6
2830,南京,其他,香格里拉-好吧·帅锅,435,169,7.8,9.1,7.9
2831,南京,其他,桃李苑,109,187,8.4,8.1,7.6
2833,南京,其他,万氏小胖子功夫龙虾(殷巷店),113,126,7.4,7.7,7.5
2834,南京,其他,大叔龙虾馆,37,84,7.3,7.5,7.3
2837,南京,其他,金湖龙虾,5,40,7.1,7.1,7.1
2838,南京,其他,李氏龙虾(新民路店),15,60,7.3,7.3,7.3
2839,南京,咖啡厅,COFFEEMARKS咖啡马卡斯(夫子庙店...,74,36,7.9,8.4,8.3
2840,南京,咖啡厅,Saerdna coffee(珠江路店)分店,46,26,8.4,7.9,8.2
2841,南京,咖啡厅,蓝湾咖啡(东麒路店)分店,121,46,7,7.3,7.2
2844,南京,咖啡厅,锦城绿岛咖啡,29,61,7.2,7.2,7.1
2846,南京,韩国料理,小木屋米酒店(尧化门店),111,80,7.7,8.1,7.8
2847,南京,韩国料理,Aza Aza！芝心年糕料理(荔枝广场...分店,728,72,7.7,8.9,8.4
2848,南京,韩国料理,麻喜大(烧烤啤酒屋),501,58,8.9,8.8,8.8
2849,南京,韩国料理,石锅吧(三牌楼大街店),44,16,6.8,6.8,6.9
2850,南京,韩国料理,韩国料理味多来(学衡路店),281,50,8,7.8,7.7
2860,南宁,川菜,韶山冲湘菜馆(民主店),55,58,7,7,7
2861,南宁,川菜,重庆人家,4,45,7,7,7
2862,南宁,川菜,鱼影新概念酸菜鱼,4,60,7.6,7.6,7.5
2863,南宁,川菜,溪缘里,23,39,6.9,6.9,6.8
2871,南宁,江浙菜,年年不忘中餐厅(航洋国际广场店),99,45,7.8,8.6,8
2877,南宁,粤菜,来记名点(万象城店),15,24,7.3,7.4,7.3
2878,南宁,粤菜,南宁肥仔茶楼(大学路店)分店,16,52,6.9,7.1,6.6
2879,南宁,粤菜,维多利茶餐厅(望园店),51,23,7,7,6.9
2884,南宁,火锅,胖巴哥肉蟹煲餐厅(航洋国际广场...,153,70,7.1,7.6,7.6
2886,南宁,火锅,灌县老妈砂锅串串(云景店),8,62,7.7,7.4,7.5
2889,南宁,自助餐,山盛创作料理(航洋国际广场店),454,250,8.3,8.8,7.9
2891,南宁,小吃快餐,阿桶木(保利店),13,16,7.3,7.2,7.3
2892,南宁,小吃快餐,拾味记全州出榨红油米粉,9,10,7.4,7.5,7.5
2896,南宁,小吃快餐,正新鸡排(富德凤凰农贸市场店),5,19,7.5,7.5,7.5
2899,南宁,日本料理,苹果阳光寿司店,5,19,6.9,6.9,6.9
2902,南宁,日本料理,悦膳日本料理,154,76,7.7,8.1,8.2
2905,南宁,西餐,爱德华精品咖啡(青秀店),47,97,7.7,8.5,8
2907,南宁,西餐,Chanson香颂丨Cafe·Bar,10,83,7.1,7.1,7.1
2908,南宁,西餐,欧乐西点披萨,1,28,7.1,7.1,7.1
2916,南宁,面包甜点,水街九记伦教糕店(新印象美食城...,43,7,7.6,7.4,7.4
2917,南宁,面包甜点,范记饼屋(汇东郦城店)分店,5,10,7.6,7.6,7.6
2918,南宁,面包甜点,九度缘(祥宾路店)分店,26,13,7.3,7.2,7.2
2919,南宁,其他,乌玛(亭江店),273,79,7.8,9,8
2920,南宁,其他,宜家生活咖啡,11,30,7,7.2,7.2
2921,南宁,面包甜点,茶道夫(北湖店),3,10,7.3,7.3,7.3
2922,南宁,面包甜点,榴芒来了,2,15,6.9,7.1,6.8
2923,南宁,其他,天鹰蒸汽海鲜城(保利店),7,44,7.4,7.1,7.3
2924,南宁,其他,太平洋咖啡(万象城第一分店)分店,34,37,7.4,7.5,7.4
2925,南宁,其他,鲜蚝汇海鲜烧烤主题餐厅,9,55,7.1,7.1,6.9
2926,南宁,其他,太师烧鸭风味餐厅,17,17,7.2,6.8,7
2927,南宁,其他,土豪火锅铁锅门,10,51,7.8,7.6,7.8
2931,南宁,其他,高文达素食餐厅,4,13,7.3,7.4,7.4
2932,南宁,其他,好月缘海鲜鲍翅楼,14,115,7.2,7.2,7.2
2940,南宁,米粉/米线,三品王(友爱北店)分店,7,13,7.1,7.1,7.1
2942,南宁,米粉/米线,三品王(长岗店)分店,14,8,7.1,7,6.9
2946,南通,私房菜,九憬私房菜,1,25,6.9,6.9,6.9
2950,南通,川菜,烤鱼堂,3,42,6.9,6.9,6.9
2953,南通,川菜,醉爱酸菜鱼(一店),5,35,7,7,7
2954,南通,川菜,临家外卖酸菜鱼,8,25,7.2,7.2,7.2
2955,南通,川菜,辣道坊麻辣锅皇,1,30,6.6,7.1,7.1
2964,南通,海鲜,炜炜小厨(五一路店),95,106,8.4,8.1,8
2965,南通,海鲜,江鲜美食-狼山迎春饭店,42,86,7.6,7.4,7.4
2978,南通,咖啡厅,偶像咖啡(idol coffee),4,36,6.9,7.3,7.3
2986,南通,江浙菜,江南厨房(星湖店),87,56,7.5,7.3,7.4
2988,南通,江浙菜,沈府酒楼,2,30,7.2,7.2,7.2
2990,南通,江浙菜,吕老二酒店,13,75,7.3,7.2,7
2991,南通,火锅,重庆德庄火锅,34,79,8.1,8.1,8.3
2993,南通,火锅,一品皇记煌三汁焖锅,25,65,7.2,7.2,7.2
2994,南通,火锅,川金楼精致干锅火锅万州烤鱼,5,58,7.2,7.2,7.2
2996,南通,小吃面食,友达面馆,13,24,7.3,7.3,7.3
2997,南通,小吃面食,韩国爱_炸鸡,15,25,7.5,7.4,7.5
3000,南通,小吃面食,遵义羊肉粉,7,19,7.1,7.1,7.1
3001,南通,小吃面食,包福记牛肉面馆(轻纺城店)分店,110,16,7.2,7.3,7.3
3003,南通,烧烤,东北烧烤王(川味干锅),24,49,7.1,6.6,6.8
3010,南通,韩国料理,全州拌饭,14,19,7.3,7.3,7.5
3012,南通,日本料理,福泽屋分店,80,121,7.4,7.4,7.4
3013,南通,西餐,暖舍西餐厅,59,194,7.4,7.8,7.5
3014,南通,韩国料理,金家烤肉,33,66,8.7,8.8,8.8
3019,南通,自助餐,小帅锅回转时尚自助火锅,10,37,7.2,7.3,7.6
3020,南通,面包甜点,猫山王榴莲蛋糕甜品(圆融店),232,36,7.6,7.6,7.8
3023,南通,面包甜点,老伴豆花,71,17,8,8.1,8.1
3024,南通,面包甜点,麦香人家(步行街店)分店,131,24,7.4,7.4,7.4
3025,南通,面包甜点,面包巴士,34,30,7.2,7.6,7.6
3026,南通,面包甜点,爱米小屋(锦绣路店)分店,104,21,7.5,7.5,7.5
3027,南通,面包甜点,甘茶度奶茶,12,21,7.3,7.5,7.5
3028,南通,面包甜点,甘茶度(五一路公交停车场店),13,10,7.5,7.5,7.5
3029,南通,其他,江南春晓融合创意精品餐厅,19,50,7.2,7.3,7.2
3030,南通,其他,兰庭茶叙(体育公园店),80,68,8,8.2,7.9
3032,南通,其他,团小咖台湾饭团(城山路店),7,13,7.5,7.5,7.5
3039,南通,快餐简餐,路人某(京扬数码广场店),5,10,7.6,7.6,7.6
3040,南通,快餐简餐,苏州同得_精品面馆,44,54,7.2,7.2,7.1
3042,南通,快餐简餐,齐品达,1,20,7,7.1,7.1
3043,南通,快餐简餐,松露面馆,9,34,7,7.3,7.1
3044,南通,快餐简餐,饺翻天,58,20,7.4,7.6,7.4
3046,南通,快餐简餐,猪脑哥(学田店),5,20,7.4,7.1,7.5
3047,南通,快餐简餐,竹之语简餐,2,25,7.6,7.6,7.6
3048,南通,快餐简餐,咔趣热狗,10,15,7.3,7.4,7.4
3050,宁波,日本料理,鱼旨寿司(环球银泰城店),628,71,8.1,8.2,8.2
3052,宁波,日本料理,掌柜家的猫,52,65,7.8,7.9,7.8
3053,宁波,日本料理,秋田家(箕漕街店)分店,48,297,7.4,7.5,7.5
3056,宁波,粤菜,南苑环球酒店云庭下午茶餐厅,155,146,7.2,7.6,7.5
3057,宁波,海鲜,寻味鲜_海鲜,48,36,7.8,7.5,8
3059,宁波,海鲜,福润德海鲜大排档,11,35,6.8,6.7,6.8
3060,宁波,海鲜,舟山海鲜铺,1,25,6.9,6.9,6.9
3061,宁波,海鲜,一尾寻仙,1,134,7,7,7
3064,宁波,韩国料理,虾蜡年糕,1,30,7.1,6.8,6.8
3065,宁波,韩国料理,阿妈妮韩式料理,13,30,7.5,7.2,7.4
3067,宁波,韩国料理,韩想来,187,35,7.5,7.6,7.6
3068,宁波,韩国料理,阿妈尼韩国料理,13,30,7.3,7.3,7.3
3069,宁波,川菜,川味人家(鄞州店)分店,1505,57,8.6,8.1,8
3070,宁波,韩国料理,金草帽(高凤路店)暂停营业,96,70,7,7.2,7.1
3071,宁波,川菜,老川味,6,38,6.9,7.1,7.3
3072,宁波,川菜,真滋味(小港街道店),16,39,7.5,7.5,7.5
3073,宁波,川菜,辣有道,1,27,6.9,6.9,6.9
3075,宁波,川菜,福乐家排挡,3,31,7.1,7.1,7.1
3077,宁波,川菜,江上飞烤鱼,3,37,7,7,7
3078,宁波,烧烤,168烧烤(庄市店)分店,129,59,7.8,8,7.8
3079,宁波,烧烤,羊入虎口碳烤羊腿(江东店),355,112,8,7.7,8.2
3081,宁波,烧烤,牛魔王原创铁板美食,1,30,7,7,6.7
3085,宁波,小龙虾,老鄞江桥头龙虾馆,14,57,7.4,7.5,7.2
3091,宁波,湘菜,湘谣(百丈东路店)分店,323,79,8.2,8.3,8.3
3092,宁波,湘菜,辣得叫(甬港南路店)分店,229,65,8,8,8.1
3093,宁波,火锅,一锅两头牛牛肉火锅(环球银泰城...,186,82,7.9,8.1,8.3
3094,宁波,火锅,川行记老灶串串特色火锅(天伦店),27,75,8,7.9,7.9
3095,宁波,火锅,鱼品记蒸汽石锅鱼,49,58,8.3,8.6,8.7
3096,宁波,火锅,渝味晓宇火锅,17,121,7,7,7
3097,宁波,火锅,汤岛涮(西子国际店),29,48,7.3,7.2,6.8
3098,宁波,火锅,记忆重庆火锅,5,53,7.7,7.7,7.7
3099,宁波,火锅,重庆金秋老火锅(高凤路店),110,85,8,8,7.9
3100,宁波,火锅,幺妹时尚自助火锅,1,50,6.9,6.9,6.9
3111,宁波,酒吧,Lucky Leaf酒吧,15,50,,,
3114,宁波,西餐,Vivapolo(来福士广场店)分店广告,451,82,8.7,9.1,8.9
3115,宁波,西餐,米有沙拉(镇海新城店),14,20,7.4,7.4,7.3
3116,宁波,西餐,必胜客(城隍庙店)分店,90,62,6.8,6.8,6.8
3117,宁波,西餐,澳洲肉派,39,45,7.9,8.1,8.3
3118,宁波,西餐,意_意大利风情休闲餐吧(黄金海...分店,21,39,7.2,7.3,7.2
3119,宁波,西餐,汉堡王子(宝善店),11,16,7.1,7,7.1
3120,宁波,西餐,阿兰碧卡,75,38,7.5,7.6,7.6
3121,宁波,自助餐,宁波柏悦酒店-悦轩餐厅,643,289,8.5,9.3,9.1
3122,宁波,自助餐,达蓬山大酒店中餐厅,140,181,6.8,7.1,6.9
3123,宁波,自助餐,鄞州天港禧悦酒店浩全日餐厅,631,196,8.3,8.5,8.5
3124,宁波,自助餐,华侨豪生西餐厅,1142,240,8.2,8.9,8.7
3125,宁波,自助餐,重庆818自助火锅(徐家漕店)分店,55,45,7.3,7.3,7.4
3127,宁波,面包甜点,觅物甜品哲学(港隆广场店),98,28,7.8,8.1,7.9
3128,宁波,面包甜点,糖纸甜品(银泰城店)分店,62,33,7.5,7.8,7.9
3129,宁波,面包甜点,可莎蜜_(万科广场店),47,33,8.2,8.4,8.2
3130,宁波,面包甜点,四云奶盖贡茶(世纪东方广场店)分店,861,19,8.3,8.4,8.3
3133,宁波,面包甜点,大通冰室(轻纺城洛兹店),47,14,8.1,8,7.9
3135,宁波,面包甜点,麦棵丰老香港手工蛋糕(鼓楼二店),61,10,7.3,7.2,7.2
3136,宁波,咖啡厅,Kuma island,54,35,7.2,7.4,7.3
3143,宁波,咖啡厅,午后阳光咖啡酒吧(外滩大厦店),10,49,7.4,7.4,7.4
3144,宁波,其他,禾丰记养生粥店(宏泰广场店)分店,30,58,7.9,7.9,8.1
3145,宁波,其他,朋友圈概念餐厅,512,58,8.6,8.6,8.8
3148,宁波,宁波江浙,宁波春晓世茂希尔顿逸林酒店大海...,25,72,7.7,7.6,7.2
3149,宁波,宁波江浙,小山村饭庄(惊驾路店),60,76,7.2,6.9,7
3150,宁波,宁波江浙,后花园私家餐厅,26,64,7,7.1,7
3152,宁波,宁波江浙,吴记菜香楼,19,39,7.3,7.1,6.9
3155,宁波,面馆,兰溪手擀面,16,12,7.6,7.5,7.5
3156,宁波,面馆,老周面馆,15,11,7.6,7.4,7.5
3158,宁波,面馆,重庆小面·梦小面(慈溪1店),18,19,7.5,7.3,7.4
3160,宁波,面馆,重庆小面面馆(文山路二店),7,15,7.2,7.3,7.1
3161,宁波,面馆,第一碗面馆(爵溪),17,13,7.2,7.2,7.3
3163,宁波,面馆,重庆小面·梦小面(观城店),3,15,7.1,7,7.1
3164,宁波,小吃快餐,宽窄巷天府名小吃(宏泰店),200,39,7.4,7.9,7.2
3165,宁波,小吃快餐,金陵蟹黄汤包店,83,23,7.8,7.5,7.8
3166,宁波,小吃快餐,味一早餐(民安路店)分店,92,11,7.4,7.1,7
3167,宁波,小吃快餐,肯德基(宁波联盛店)分店,41,27,7.2,7.3,7
3168,宁波,小吃快餐,道地(联盛广场店),152,32,7.5,7.5,7.5
3169,宁波,小吃快餐,大娘水饺(桑田路店)分店,264,20,7.7,7.9,7.6
3174,青岛,家常菜,恒超家常菜,1,25,6.9,6.9,6.9
3184,青岛,私房菜,振兴楼私房菜,9,48,7,6.9,7
3188,青岛,川菜,麻辣柒货广告,91,129,8.1,7.5,7.6
3189,青岛,川菜,川香麻辣香锅,750,42,8.6,8.3,8.2
3190,青岛,川菜,宽窄巷(李沧万达店)分店,40,53,7.8,8.2,7.3
3191,青岛,川菜,独一味烤鱼,2,30,7.3,7.3,7.3
3192,青岛,川菜,渝板凳重庆小面(农业大学店),8,10,7.1,7.3,7.3
3193,青岛,川菜,重庆鸡公煲,5,15,7,7,6.9
3194,青岛,粤菜,海景花园大酒店(早茶厅),39,89,7.5,7.8,7.7
3197,青岛,鲁菜,万达艾美酒店乐美中餐厅,316,200,8.4,9,8.9
3198,青岛,鲁菜,青岛蓝海大饭店·零点厅(崂山店),11,80,7.4,7.3,7.4
3200,青岛,鲁菜,浩家苑菜馆,55,48,7.8,7.4,7.5
3201,青岛,川菜,蜀香百味麻辣香锅,10,37,7.1,7.2,7.2
3202,青岛,鲁菜,欢聚一家人农家宴,16,150,7.4,7.7,7.4
3203,青岛,鲁菜,于家老糁,2,10,7.3,7.3,7.3
3204,青岛,海鲜,振宇啤酒屋(海鲜加工一店),675,98,9.1,8,8.8
3205,青岛,海鲜,三宝粥店(利客来店),342,56,8.4,8.5,8.4
3206,青岛,海鲜,聚福鑫苑海鲜自助,94,61,7.8,8.1,8.3
3207,青岛,海鲜,蟹三胖香辣蟹,15,60,8,8.1,8.1
3208,青岛,海鲜,花园大酒店贵宾楼,160,137,7.7,8,7.7
3209,青岛,海鲜,乔氏仰口海鲜(李村店)分店,74,120,7.1,7.1,7.1
3214,青岛,咖啡厅,Sweet sea甜蜜海洋意法餐厅,594,199,8.7,9.1,8.9
3215,青岛,咖啡厅,星巴克(丽达广场店)分店,115,39,7.4,7.4,7.4
3216,青岛,咖啡厅,雪菊咖啡(黄岛3号店),21,28,7.4,7.3,7.5
3217,青岛,咖啡厅,Binggo Cafe并购咖啡,24,22,7.9,7.9,7.9
3218,青岛,咖啡厅,二十九街咖啡,3,25,7.1,7.1,7.3
3220,青岛,咖啡厅,劳斯特咖啡,82,33,7.5,7.5,7.5
3223,青岛,咖啡厅,利乐汇咖啡酒吧,1,15,6.9,6.9,6.9
3228,青岛,面馆,正轩阁爱上面连锁店,36,13,7.4,7.4,7.4
3229,青岛,面馆,天天见_(山西面馆书院路店),208,16,7.4,7.6,7.6
3234,青岛,面馆,牛少爷,2,10,7,7,7
3236,青岛,面馆,新陕秦特色面馆,14,18,7.1,6.7,7.1
3238,青岛,小吃快餐,小溪荷月私家牛肉馆,86,37,8.7,8.7,8.8
3239,青岛,小吃快餐,小草屋涮毛肚,154,40,8.8,8.5,8.4
3240,青岛,小吃快餐,肯德基(香港中路店),108,31,7.4,7.5,7.3
3241,青岛,小吃快餐,一捞鲜海鲜面(香港中路店)分店,49,53,8.5,8.3,8.4
3242,青岛,小吃快餐,幸世猪排(凯德店),240,24,7.1,7.5,7.6
3244,青岛,小吃快餐,必胜客宅急送(世纪店),21,58,7.2,7.1,7.2
3245,青岛,小吃快餐,阿香米线(金狮店),70,37,6.8,7,6.8
3249,青岛,日本料理,海岸家寿司,13,30,7.3,7.4,7.4
3250,青岛,日本料理,板前寿司(振华路店)分店,276,40,7.9,7.4,7.8
3251,青岛,日本料理,N多寿司(胶南店),9,15,7.7,7.7,7.7
3253,青岛,西餐,红咖比萨,112,56,8.2,8.1,8.3
3254,青岛,西餐,巴莫斯比萨(金沙滩店),35,46,7.4,7.4,7.4
3255,青岛,西餐,汉堡王(青岛胶州宝龙广场店)分店,50,38,7.2,7.3,7.2
3256,青岛,西餐,米索亚Misoya披萨(城阳时代中心...,27,22,7.5,7.5,7.5
3258,青岛,西餐,cafe lula,33,37,7.3,7.6,7.6
3259,青岛,西餐,best1998时尚音乐餐厅(金狮店),336,116,8.6,9.1,9
3260,青岛,西餐,巴贝拉意式休闲餐厅(宝龙广场店)分店,430,72,7.6,7.9,7.8
3261,青岛,西餐,乐可可炸鸡汉堡(山里小区店),1,20,7.1,7.1,7.1
3262,青岛,西餐,欧派斯汉堡,8,15,7.1,7.1,7.1
3265,青岛,韩国料理,已爱尚韩式炸鸡啤酒屋,8,15,7.5,7.5,7.8
3268,青岛,韩国料理,很上火韩国料理烤猪排店,993,68,9.2,8.8,9
3271,青岛,面包甜点,85度C(辽宁路店)分店,392,21,8.4,8.2,8
3272,青岛,韩国料理,大长今中韩料理,32,46,6.7,6.9,7
3275,青岛,面包甜点,松枝记(李村步行街店),58,14,8.2,8.1,8.2
3276,青岛,面包甜点,元祖食品(辽宁路店)分店,55,37,7.6,7.7,7.6
3277,青岛,面包甜点,仙芋世家(丽达店)分店,196,19,7.5,7.5,7.6
3279,青岛,面包甜点,松枝记(李村小吃街总店),46,12,7.8,7.5,7.8
3280,青岛,面包甜点,苏记炒酸奶,138,12,8.4,8,8.1
3281,青岛,面包甜点,coco都可茶饮(长江利群店),5,10,7.2,7.3,7.3
3283,青岛,其他,鸭仙芝烤鸭,22,50,7.5,7.3,7.7
3284,青岛,其他,清真海鲜菜馆,7,30,7.2,7,7.2
3287,青岛,其他,福榕菜馆,26,25,7.2,7,7.1
3290,青岛,其他,大潘石榴汁,8,20,7.3,7.2,7.2
3292,青岛,东北菜,竹香园铁锅炖,5,31,7.1,7.1,7.1
3295,青岛,东北菜,燕凤楼,2,47,7,7.2,7.2
3296,青岛,东北菜,睿佰味肘子砂锅,6,39,6.9,6.9,6.9
3298,青岛,自助餐,海祺商务酒店田园餐厅,26,49,7.4,7.4,7.4
3299,青岛,东北菜,悦顺菜馆,1,30,6.9,6.9,6.9
3301,青岛,火锅,尚品小土屋涮毛肚(东方城店),557,59,9.2,9,8.8
3302,青岛,火锅,渔_传奇云南原生态石锅鱼,202,76,8.7,8.2,8.2
3304,青岛,火锅,彤德莱火锅(胶南人民路店)分店,104,58,7.6,7.7,7.6
3305,青岛,烧烤,钱钱家原桥底烧烤馄饨,38,57,7.6,7.5,7.5
3306,青岛,烧烤,野百合蒙古烤羊腿,127,63,7.4,7.2,7.2
3307,青岛,烧烤,东北串王(黄浦江路分店)分店,36,49,7,7,7
3309,青岛,烧烤,海之家特色饭店,3,40,7.2,7.5,7.5
3311,青岛,烧烤,金氏石板烤肉(澳门路店),2,40,7.2,7.2,7.2
3312,泉州,川菜,酷猫烤鱼(东海店),119,54,7.1,7.2,7
3314,泉州,川菜,罗记烤全鱼,5,22,7.2,7.2,7.2
3315,泉州,川菜,仁风·烤鱼烤海鲜(温陵北路店),242,47,7.8,7.5,7.7
3316,泉州,川菜,老四川石锅鱼(泉港山腰店),7,30,7.5,7.5,7.5
3317,泉州,川菜,麻辣鲜捞,1,15,6.9,6.9,6.9
3323,泉州,闽菜,金芳阁美食馆,5,34,7.1,7,7
3328,泉州,海鲜,泉商希尔顿酒店,70,357,6.5,8.2,7.4
3329,泉州,海鲜,宝石湾海鲜馆,2,30,7,7,6.9
3337,泉州,粤菜,富临茶餐厅,12,41,7.1,7,7
3343,泉州,江浙菜,胖哥俩肉蟹煲(泉州浦西万达店),4,72,6.9,7.3,7.3
3349,泉州,小吃面食,正宗台湾盐酥鸡专卖店(大润发店),22,13,7.3,7.2,7.4
3350,泉州,小吃面食,比哥鸡排,3,16,7.2,7.2,7.2
3351,泉州,小吃面食,一休站美食店(大润发店),5,10,7.1,7,7.1
3354,泉州,烧烤,新义隆烤肉王(水头总店),15,69,7.2,7.1,7.4
3356,泉州,烧烤,湖心街夜市烧烤,4,35,7.4,7.4,7.4
3366,泉州,日本料理,酒乐日本料理(南俊店)分店,57,255,8,7.4,7.7
3372,泉州,西餐,必胜客(天山店),38,61,7.2,7.1,7
3373,泉州,西餐,icome手握披萨,8,26,7.1,7.1,7.1
3380,泉州,面包甜点,潘达芝士挞(万达店),33,17,7.5,7.6,7.7
3381,泉州,面包甜点,放牛斑(江声店)分店,354,15,8,8.2,8.1
3382,泉州,面包甜点,爷茶,73,14,7.3,7.8,7.7
3383,泉州,面包甜点,张姐烤肉拌饭脆皮鸡饭(泉州总店),26,19,7.5,7.5,7.5
3391,泉州,咖啡厅,随适咖啡(西湖店),2,25,7.3,7.3,7.3
3392,泉州,咖啡厅,每天咖啡,1,18,7,7,7
3399,泉州,其他,0595香辣虾,5,45,6.9,7,7
3402,泉州,火锅,转转乐涮涮锅(中闽新华店),483,35,7.8,8,8
3403,泉州,火锅,大宅门老北京铜锅涮肉,12,105,7.3,7.3,7.2
3404,泉州,火锅,山里人家,2,23,6.9,6.9,6.9
3406,泉州,火锅,九鼎煌鲜牛肉火锅城(安溪店),1,42,7.7,7.7,7.7
3412,泉州,快餐简餐,康庄满煎糕店,24,7,7.9,7.3,7.6
3415,泉州,快餐简餐,来二两重庆小面,1,14,7.3,7.3,7.3
3416,泉州,湘菜,桥亭活鱼小镇(东海店),66,55,7.4,7.3,7.3
3420,泉州,湘菜,湘赢映湘红,5,25,7,7,7
3423,泉州,湘菜,椿福川湘楼,2,29,7.2,7.2,7.2
3431,上海,家常菜,阿琴家常菜,16,52,7.4,7.2,7.3
3432,上海,家常菜,同乐家常菜(白玉路店),42,24,6.7,6.4,6.6
3433,上海,家常菜,宏泰祥生煎馆(梅川店),84,16,6.9,7.2,7.1
3443,上海,海鲜,宝燕海货工场三店蒸汽海鲜(大宁...分店,531,256,8.8,8.5,8.4
3444,上海,海鲜,宝燕壹号海鲜餐厅(民生路店)分店,119,218,8.3,8.2,8.3
3445,上海,海鲜,海尚蒸(富荟广场店),272,140,8.1,7.9,7.9
3446,上海,海鲜,随缘蒸汽海鲜坊,682,128,8.2,8.3,8.7
3448,上海,海鲜,尚滋味我家酸菜鱼(月浦店),71,82,6.7,6.8,6.7
3450,上海,海鲜,八面玲珑龙虾坊(仓场路店)分店,165,173,7.5,7.1,7
3451,上海,东北菜,老于家东北人家(徐家汇店)分店,2463,60,8.4,8.1,8.3
3452,上海,东北菜,翠花老菜饺子馆(七宝店)分店,273,57,7.7,7.5,7.2
3453,上海,东北菜,东北筋饼骨头王(科苑路店),17,68,7.7,7.5,7.4
3454,上海,东北菜,哈尔滨风味饺子馆,17,32,7.1,7,7
3457,上海,东北菜,黄焖鸡米饭(秋竹路店),6,20,6.9,6.9,7.1
3458,上海,东北菜,重庆鸡公煲,7,30,6.9,6.8,6.8
3460,上海,川菜,宋记香辣蟹(七宝万科广场店)分店,2970,116,8.4,8.9,8.9
3461,上海,川菜,归蜀第成都串串料理(万科海上传...分店,167,75,8.6,8.8,8.3
3462,上海,川菜,青花椒砂锅鱼(开元地中海店)分店,79,81,8.1,8,8.4
3463,上海,川菜,鱼蛙岛淘虾,207,83,8.4,8.2,8.4
3464,上海,川菜,味道江湖(泗泾店),254,51,7.7,7.6,7.7
3465,上海,川菜,本清素我家酸菜鱼(顾村店)分店,283,78,7.8,7.8,7.3
3466,上海,湘菜,许爷剁椒鱼头(宛平南路店)分店,617,122,8.6,8.4,8.2
3467,上海,湘菜,新湘记,68,57,7.7,7.7,7.4
3469,上海,湘菜,湘里人家,195,71,6.9,7.1,7
3470,上海,湘菜,妈味蒸湘,12,49,7.7,7.7,7.7
3471,上海,湘菜,毛家湘菜(辣旺潮汕砂煲粥)分店,233,95,6.8,6.8,6.7
3472,上海,湘菜,游子川湘菜,8,30,7,6.9,6.9
3473,上海,粤菜,富临轩(梅龙镇广场店)分店,1345,189,9,8.9,8.9
3475,上海,粤菜,御宝至尊烤鸭店(虹桥天地店),786,368,8.8,9.1,9.1
3476,上海,粤菜,王廷饭店,584,222,8.3,8.7,8.4
3477,上海,粤菜,潮州府砂锅粥(金虹桥广场店)分店,1342,125,8.2,8.1,7.9
3478,上海,粤菜,太兴餐厅(上海来福士广场店)分店,7001,97,7.2,7.4,7
3479,上海,粤菜,澳门陈光记烧味饭店,172,58,7.6,7.6,7.2
3480,上海,粤菜,龙记香港茶餐厅(久光百货店)分店,8837,74,7.3,6.5,6.4
3481,上海,粤菜,甜蜜蜜港式茶餐厅(七宝巴春店)分店,1448,52,7.5,7.3,7.5
3482,上海,粤菜,福荣祥烧腊(吴中路店),33,25,7.4,7.3,7.5
3483,上海,本帮江浙菜,爱玲EILEEN(环球金融中心店),342,321,8.8,9,8.9
3484,上海,本帮江浙菜,玫瑰厅(来福士广场长宁店),66,152,9.1,9.2,9.1
3485,上海,本帮江浙菜,聚荟摩登江浙沪(96广场店)分店,1278,144,8.4,8.4,8.1
3486,上海,本帮江浙菜,皇轶庭,421,110,8.3,8.2,8.2
3487,上海,本帮江浙菜,长泰公馆·中餐厅,288,269,8.9,9.3,8.7
